age,semester,favorite_subject,programming_skill,career_interest,skills_text,target_career,career_demand,technical_score,communication_score,problem_solving_score,creativity_score,leadership_score
18,1st Semester,Chemistry,Beginner,Research Scientist,"Critical Thinking, Academic Writing, Time Management, Laboratory Techniques, Data Analysis, Statistics",Research Scientist,Stable,92,75,93,69,60
28,7th Semester,Business Studies,Beginner,Digital Marketer,"Copywriting, SEM, Email Campaigns, SEO",Digital Marketer,High Demand,71,90,79,78,78
22,7th Semester,Design,None,UI/UX Designer,"Creativity, Wireframing, Figma, Interaction Design",UI/UX Designer,High Demand,75,85,76,97,73
22,8th Semester,Mathematics,Intermediate,Full-Stack Developer,"Research Methodology, Academic Lecturing, Mentorship, Public Speaking, Curriculum Development",Professor,Stable,93,93,85,82,80
27,Postgraduate,Computer Science,Intermediate,Cloud Engineer,"System Architecture, Linux, CI/CD",Cloud Engineer,High Demand,98,69,85,56,68
21,6th Semester,Computer Science,Intermediate,DevOps Engineer,"Python, Jenkins, Adaptability, Teamwork, Docker, Linux Bash, Infrastructure as Code, Kubernetes",DevOps Engineer,High Demand,90,60,86,56,77
27,7th Semester,Biology,None,Dentist,"Communication, Manual Dexterity, Oral Surgery, Patient Communication, Dental Anatomy, Diagnostics, Empathy",Dentist,Stable,80,77,79,70,72
22,4th Semester,Mathematics,None,Mechanical Engineer,"Robotics, Thermodynamics, Fluid Mechanics",Mechanical Engineer,Stable,87,62,98,79,66
17,10th,Business Studies,Beginner,Business Analyst,"SQL, Tableau, Business Strategy, Agile/Scrum, Stakeholder Management, Teamwork, Requirements Gathering",Business Analyst,High Demand,80,83,87,72,80
21,5th Semester,Engineering,Intermediate,Electrical Engineer,"Signal Processing, MATLAB, PCB Design, Embedded Systems, Microcontrollers, Power Systems",Electrical Engineer,High Demand,99,67,90,75,58
21,Diploma,Business Studies,Beginner,Product Manager,"User Research, Market Strategy, Roadmap Planning",Product Manager,Trending,78,87,84,79,87
21,Diploma,Design,Beginner,Animator,"Texturing, 3D Modeling, Maya, Storyboarding, Creativity, After Effects",Animator,Emerging,74,70,67,95,63
19,2nd Semester,Physics,Intermediate,Aerospace Engineer,"Problem Solving, Aerodynamics, CAD Modeling, Flight Simulation, Teamwork, Avionics, Propulsion Systems, Structural Analysis",Aerospace Engineer,Emerging,99,75,94,80,70
25,Postgraduate,Finance,None,Financial Analyst,"Ratio Analysis, Forecasting, Time Management, Adaptability, Market Research, PowerBI",Financial Analyst,Trending,79,74,93,57,65
20,8th Semester,Hospitality,Beginner,Chef,"Creativity, Menu Engineering, Culinary Techniques, Kitchen Leadership",Chef,Trending,78,73,83,85,80
25,8th Semester,Economics,None,Digital Marketer,"Copywriting, SEM, Social Media Marketing, Problem Solving, Google Analytics",Digital Marketer,High Demand,77,91,79,94,79
25,Graduate,Mathematics,Beginner,Pilot,"Problem Solving, Emergency Procedures, Radio Communication, Flight Navigation",Pilot,Trending,89,84,88,60,81
21,2nd Semester,Psychology,None,Journalist,"Storytelling, Fact Checking, Video Journalism, Investigative Reporting, Problem Solving, Interviewing",Journalist,Stable,69,92,83,77,74
21,4th Semester,Finance,None,Investment Banker,"Negotiation, Pitch Decks, Valuation",Investment Banker,High Demand,77,86,91,61,85
20,4th Semester,Finance,Intermediate,Chartered Accountant,"Financial Reporting, Financial Analysis, Corporate Law, Financial Accounting, Auditing",Chartered Accountant,Stable,93,68,94,56,67
27,8th Semester,Physics,Beginner,Civil Engineer,"AutoCAD, Project Planning, Site Inspection, Construction Management, Structural Analysis",Civil Engineer,Stable,88,75,94,67,72
19,3rd Semester,Psychology,None,UI/UX Designer,"Negotiation, Contract Drafting, Public Speaking, Legal Research, Teamwork, Problem Solving, Courtroom Advocacy",Lawyer,Stable,67,93,93,59,87
22,7th Semester,Computer Science,Intermediate,DevOps Engineer,"Python, Linux Bash, Cloud Security, Kubernetes",DevOps Engineer,High Demand,95,63,90,58,67
18,12th,Education,None,Journalist,"News Writing, Teamwork, Video Journalism, Fact Checking",Journalist,Stable,69,99,78,85,73
22,4th Semester,Hospitality,Beginner,Chef,"Sensory Evaluation, Time Management, Culinary Techniques, Adaptability, Food Safety, Menu Engineering, Creativity",Chef,Trending,75,74,83,83,81
22,6th Semester,Data Science,Intermediate,Data Scientist,"Analytical Thinking, SQL, Machine Learning",Data Scientist,High Demand,91,76,96,72,66
25,8th Semester,Computer Science,Intermediate,Software Developer,"Object-Oriented Programming, Data Structures, Git",Software Developer,High Demand,94,63,88,68,59
18,12th,Computer Science,None,Professor,"Research Methodology, Academic Lecturing, Public Speaking, Scientific Publication, Creativity, Pedagogy, Curriculum Development",Professor,Stable,82,95,89,68,81
20,Diploma,Artificial Intelligence,Advanced,Robotics Engineer,"Sensors & Actuators, Computer Vision, Critical Thinking, ROS, Adaptability, C++, Kinematics",Robotics Engineer,High Demand,99,68,93,76,65
25,Postgraduate,Engineering,Advanced,Cloud Engineer,"Python, Networking, AWS, Azure, System Architecture, CI/CD",Cloud Engineer,High Demand,92,68,83,67,72
28,8th Semester,Education,Intermediate,Journalist,"News Writing, Creativity, Video Journalism, Interviewing",Journalist,Stable,71,99,79,88,70
25,7th Semester,Finance,None,Investment Banker,"Capital Markets, Negotiation, Communication, Excel, Valuation, Financial Modeling, Problem Solving, M&A Analysis",Investment Banker,High Demand,89,82,95,65,94
24,Graduate,Business Studies,None,Product Designer,"User Empathy, Customer Research, Product Strategy, Iterative Design, Prototyping",Product Designer,High Demand,78,86,84,99,80
20,5th Semester,Design,None,Graphic Designer,"Layout Design, Visual Identity, Teamwork, Color Theory",Graphic Designer,Trending,65,80,73,99,62
24,Postgraduate,Mathematics,Beginner,Teacher,"Creativity, Aerodynamics, Time Management, CAD Modeling, Flight Simulation, Avionics, Propulsion Systems",Aerospace Engineer,Emerging,95,70,99,75,79
18,10th,Computer Science,Expert,DevOps Engineer,"Jenkins, Time Management, Adaptability, GitLab CI, Linux Bash, Kubernetes",DevOps Engineer,High Demand,99,71,84,59,72
28,Graduate,Business Studies,Intermediate,Product Designer,"User Empathy, Customer Research, Product Strategy, Iterative Design, Prototyping",Product Designer,High Demand,85,81,76,95,70
22,4th Semester,Finance,None,Investment Banker,"Excel, Valuation, Market Research, Financial Modeling, M&A Analysis",Investment Banker,High Demand,83,88,89,68,88
26,Graduate,Design,Beginner,Product Designer,"Customer Research, Product Strategy, Figma, Industrial Design, Problem Solving, Iterative Design",Product Designer,High Demand,82,86,80,92,86
24,8th Semester,Chemistry,Beginner,Chef,"Sensory Evaluation, Time Management, Culinary Techniques, Adaptability, Food Safety, Menu Engineering, Creativity",Chef,Trending,71,78,85,97,79
19,8th Semester,Engineering,Advanced,Cybersecurity Analyst,"Network Security, Linux, Communication, Ethical Hacking",Cybersecurity Analyst,High Demand,97,63,88,70,58
23,7th Semester,Computer Science,Intermediate,Software Developer,"Time Management, Data Structures, Adaptability, Debugging, Algorithms",Software Developer,High Demand,94,63,90,77,68
26,Postgraduate,Mathematics,Intermediate,Entrepreneur,"Financial Statement Analysis, Ratio Analysis, Excel, Adaptability",Financial Analyst,Trending,91,86,86,65,62
24,8th Semester,Finance,None,Chartered Accountant,"Excel Mastery, Critical Thinking, Financial Reporting, Financial Analysis, Attention to Detail, Financial Accounting, Auditing",Chartered Accountant,Stable,87,77,84,53,70
26,Graduate,Mathematics,Intermediate,Electrical Engineer,"Signal Processing, Circuit Design, MATLAB, PCB Design, Teamwork, Power Systems",Electrical Engineer,High Demand,93,66,95,60,62
24,Postgraduate,Finance,None,Chartered Accountant,"Financial Accounting, Corporate Law, Teamwork, Financial Reporting",Chartered Accountant,Stable,81,75,91,53,78
21,Diploma,Computer Science,Beginner,Product Manager,"Metrics & KPIs, Leadership, Product Vision, User Research, Cross-Functional Coordination, Market Strategy",Product Manager,Trending,79,88,92,84,92
27,8th Semester,Business Studies,Beginner,Product Designer,"User Empathy, Prototyping, Communication, Customer Research, Creativity, Industrial Design, Figma",Product Designer,High Demand,75,88,87,90,71
22,2nd Semester,Physics,Beginner,Astrophysicist,"Astronomical Observation, Critical Thinking, Astrophysics, Calculus, Creativity, Data Modeling",Astrophysicist,Emerging,93,70,96,75,74
24,8th Semester,Computer Science,Intermediate,Cloud Engineer,"Networking, Terraform, Azure, System Architecture, Kubernetes, CI/CD",Cloud Engineer,High Demand,93,64,85,61,81
19,7th Semester,Business Studies,Beginner,Digital Marketer,"Content Strategy, SEM, PPC Advertising, Time Management, Email Campaigns, SEO, Google Analytics",Digital Marketer,High Demand,82,87,76,89,76
26,Postgraduate,Physics,Beginner,Doctor,"Python, Creativity, Medical Devices, Prosthetics, Problem Solving",Biomedical Engineer,Trending,83,63,86,79,68
28,7th Semester,Law,Beginner,Journalist,"Storytelling, Communication, News Writing, Video Journalism, Teamwork, Interviewing",Journalist,Stable,74,99,78,90,73
27,Postgraduate,Design,Intermediate,Graphic Designer,"Branding, Photoshop, Communication, Layout Design, Illustrator, Creativity, Color Theory",Graphic Designer,Trending,78,76,73,94,68
20,7th Semester,Mathematics,Beginner,Biomedical Engineer,"Signal Processing, Communication, Circuit Design, PCB Design, Embedded Systems, Power Systems",Electrical Engineer,High Demand,87,64,88,66,58
23,Graduate,Engineering,None,Product Designer,"User Empathy, Iterative Design, Industrial Design, Prototyping",Product Designer,High Demand,80,83,79,85,71
20,2nd Semester,Animation,None,Graphic Designer,"Branding, Photoshop, Critical Thinking, Time Management, Typography, Creativity",Graphic Designer,Trending,77,74,77,97,55
27,8th Semester,Business Studies,None,Product Designer,"Prototyping, User Empathy, Iterative Design, Adaptability, Customer Research, Industrial Design, Figma",Product Designer,High Demand,78,85,85,95,70
20,3rd Semester,Psychology,Intermediate,UI/UX Designer,"Prototyping, Design Thinking, Usability Testing, Design Systems, User Research, Figma",UI/UX Designer,High Demand,77,77,76,89,74
21,5th Semester,Chemistry,Beginner,Pharmacist,"Patient Counseling, Communication, Attention to Detail, Dosage Calculation, Drug Interactions, Teamwork, Organic Chemistry",Pharmacist,Stable,86,78,85,52,67
26,8th Semester,Design,Beginner,Graphic Designer,"Photoshop, Layout Design, Problem Solving, Time Management, Illustrator, Creativity, Color Theory",Graphic Designer,Trending,76,76,65,95,65
27,Postgraduate,Design,None,Animator,"Critical Thinking, Communication, Character Animation, Storyboarding, After Effects",Animator,Emerging,72,70,78,93,56
25,7th Semester,Business Studies,None,Product Designer,"Product Strategy, User Empathy, Iterative Design, Industrial Design",Product Designer,High Demand,74,81,84,91,74
24,Graduate,Engineering,Intermediate,Cybersecurity Analyst,"Linux, Time Management, Firewalls, Wireshark, Cryptography",Cybersecurity Analyst,High Demand,99,65,85,66,54
18,1st Semester,Computer Science,Advanced,Cloud Engineer,"Azure, Time Management, AWS, Teamwork, Docker, System Architecture, Kubernetes",Cloud Engineer,High Demand,93,64,81,58,64
24,8th Semester,Engineering,Advanced,Mobile App Developer,"React Native, Adaptability, Creativity, Flutter, Swift",Mobile App Developer,Trending,91,69,90,87,58
23,8th Semester,Psychology,Advanced,Product Manager,"Prototyping, Communication, Usability Testing, Creativity, Wireframing, Visual Hierarchy, Figma",UI/UX Designer,High Demand,91,84,81,99,67
19,7th Semester,Economics,Intermediate,Data Scientist,"Pandas, Scikit-Learn, SQL, Statistics, R, Analytical Thinking",Data Scientist,High Demand,95,82,89,67,69
18,10th,Engineering,None,Pilot,"Meteorology, Emergency Procedures, Aircraft Systems",Pilot,Trending,85,81,92,51,90
27,7th Semester,Engineering,Beginner,DevOps Engineer,"Cloud Security, Jenkins, GitLab CI, Monitoring, Infrastructure as Code, Kubernetes",DevOps Engineer,High Demand,89,71,78,63,68
20,6th Semester,Engineering,Beginner,Biomedical Engineer,"Materials Science, CAD Design, Biology, Prosthetics",Biomedical Engineer,Trending,82,69,95,75,66
18,10th,Chemistry,Intermediate,Professor,"Research Methodology, Mentorship, Public Speaking, Scientific Publication, Time Management, Adaptability, Pedagogy, Curriculum Development",Professor,Stable,85,96,90,81,72
28,7th Semester,Business Studies,Beginner,Product Designer,"Prototyping, Critical Thinking, Time Management, Customer Research, Product Strategy, Industrial Design, Iterative Design",Product Designer,High Demand,78,84,83,91,69
26,8th Semester,Computer Science,Intermediate,Data Scientist,"Python, Data Visualization, R, Problem Solving, Analytical Thinking",Data Scientist,High Demand,99,72,90,66,71
21,5th Semester,Mathematics,None,Civil Engineer,"Site Inspection, Time Management, Project Planning, AutoCAD",Civil Engineer,Stable,76,67,93,68,87
21,7th Semester,Finance,None,Chartered Accountant,"Financial Accounting, Excel Mastery, Financial Reporting",Chartered Accountant,Stable,88,74,92,59,80
18,1st Semester,Biology,None,Teacher,"Patience, Child Psychology, Communication, Student Evaluation",Teacher,Stable,69,98,85,72,68
24,Postgraduate,Law,None,Lawyer,"Negotiation, Communication, Contract Drafting, Public Speaking, Legal Research",Lawyer,Stable,77,98,91,78,82
18,1st Semester,Biology,Beginner,Teacher,"Communication, Time Management, Adaptability, Patience, Student Evaluation, Classroom Management, Empathy",Teacher,Stable,77,91,80,77,77
20,8th Semester,Finance,None,Chartered Accountant,"Excel Mastery, Financial Analysis, Adaptability, Financial Accounting, Auditing",Chartered Accountant,Stable,84,76,87,61,80
20,2nd Semester,Design,Beginner,Graphic Designer,"Typography, Branding, Layout Design, Communication",Graphic Designer,Trending,84,79,74,93,69
24,Graduate,Design,Intermediate,Graphic Designer,"Visual Identity, Photoshop, Layout Design, Adaptability, Creativity",Graphic Designer,Trending,82,64,77,99,66
18,10th,Engineering,Advanced,Full-Stack Developer,"Node.js, REST APIs, SQL",Full-Stack Developer,High Demand,96,67,91,76,65
24,7th Semester,Mathematics,Beginner,Mechanical Engineer,"Communication, Manufacturing, Thermodynamics, Robotics, Problem Solving",Mechanical Engineer,Stable,89,62,89,72,67
20,5th Semester,Education,Beginner,Teacher,"Policy Formulation, Adaptability, Decision Making, Governance",IAS Officer,Stable,88,92,92,68,97
21,5th Semester,Biology,None,Pharmacist,"Patient Counseling, Attention to Detail, Dosage Calculation, Organic Chemistry, Quality Control",Pharmacist,Stable,74,78,79,48,62
27,8th Semester,Economics,None,Chartered Accountant,"Excel Mastery, Financial Reporting, Time Management, Corporate Law, Financial Accounting",Chartered Accountant,Stable,89,78,90,53,73
23,8th Semester,Computer Science,Beginner,Business Analyst,"SQL, Adaptability, Stakeholder Management, Data Analytics, Requirements Gathering",Business Analyst,High Demand,80,89,87,75,74
17,10th,Finance,Intermediate,Financial Analyst,"Financial Statement Analysis, Ratio Analysis, Forecasting, Excel, Market Research, Teamwork, Problem Solving, PowerBI",Financial Analyst,Trending,91,75,91,60,72
17,12th,Physics,Intermediate,Biomedical Engineer,"Materials Science, Communication, Medical Devices, CAD Design, Biomechanics",Biomedical Engineer,Trending,91,71,91,75,67
19,7th Semester,Engineering,Intermediate,Full-Stack Developer,"React, Express, MongoDB, Critical Thinking",Full-Stack Developer,High Demand,99,71,86,77,62
24,Graduate,Mathematics,None,Investment Banker,"Negotiation, Critical Thinking, Excel, M&A Analysis",Investment Banker,High Demand,87,91,98,63,82
20,5th Semester,Biology,Beginner,Biomedical Engineer,"Python, Materials Science, Biology, Biomechanics",Biomedical Engineer,Trending,86,57,87,81,68
21,7th Semester,Mathematics,Intermediate,Aerospace Engineer,"Avionics, Aerodynamics, Propulsion Systems, Structural Analysis",Aerospace Engineer,Emerging,99,70,97,76,68
24,8th Semester,Commerce,None,Investment Banker,"Negotiation, Pitch Decks, Capital Markets, Time Management, Excel, Financial Modeling, Problem Solving, M&A Analysis",Investment Banker,High Demand,78,85,85,59,84
24,8th Semester,Mathematics,Intermediate,Investment Banker,"Adaptability, Radio Communication, High Focus, Flight Navigation",Pilot,Trending,88,77,86,56,81
28,7th Semester,Hospitality,None,Chef,"Food Safety, Menu Engineering, Culinary Techniques, Kitchen Leadership",Chef,Trending,74,75,77,94,78
26,Graduate,Economics,Beginner,Entrepreneur,"Communication, Leadership, Teamwork, Risk Management, Sales & Marketing, Growth Strategy, Pitching & Fundraising, Resilience",Entrepreneur,Emerging,74,92,86,88,90
27,7th Semester,Animation,Advanced,Animator,"Motion Graphics, Character Animation, Texturing, Adaptability, Maya, Storyboarding, Problem Solving, After Effects",Animator,Emerging,86,70,72,92,60
20,2nd Semester,Business Studies,None,Digital Marketer,"Content Strategy, Copywriting, Social Media Marketing",Digital Marketer,High Demand,72,87,77,80,82
20,8th Semester,Computer Science,Advanced,Mobile App Developer,"Android Studio, Kotlin, REST APIs",Mobile App Developer,Trending,96,70,84,73,63
19,6th Semester,Engineering,Beginner,Product Designer,"Circuit Design, Adaptability, Problem Solving, Embedded Systems, Power Systems",Electrical Engineer,High Demand,87,68,83,71,62
26,Postgraduate,Psychology,Intermediate,Lawyer,"Critical Thinking, Contract Drafting, Constitutional Law, Legal Research, Courtroom Advocacy, Argumentation",Lawyer,Stable,84,99,96,68,82
20,5th Semester,Cybersecurity,Intermediate,Cybersecurity Analyst,"Python, Linux, Incident Response, Penetration Testing, Ethical Hacking, Wireshark, Creativity",Cybersecurity Analyst,High Demand,93,63,86,59,63
25,8th Semester,Animation,None,Animator,"Motion Graphics, Character Animation, Communication, Time Management, Texturing, Maya, Blender, After Effects",Animator,Emerging,82,78,82,98,64
24,8th Semester,Chemistry,Intermediate,Pharmacist,"Patient Counseling, Attention to Detail, Dosage Calculation, Time Management, Drug Interactions, Pharmacology, Quality Control",Pharmacist,Stable,86,70,77,58,68
19,8th Semester,Law,None,Journalist,"News Writing, Time Management, Fact Checking, Video Journalism, Investigative Reporting, Interviewing",Journalist,Stable,67,89,91,81,73
28,7th Semester,Psychology,None,Cloud Engineer,"Critical Thinking, Design Thinking, Communication, Wireframing, Interaction Design",UI/UX Designer,High Demand,75,82,80,92,64
28,Postgraduate,Physics,None,Mobile App Developer,"Critical Thinking, Academic Lecturing, Mentorship, Public Speaking, Scientific Publication, Teamwork",Professor,Stable,80,94,88,76,88
24,Graduate,Medical Science,None,Dentist,"Hygiene Standards, Oral Surgery, Dental Anatomy, Diagnostics, Empathy",Dentist,Stable,80,78,79,85,71
23,Graduate,Biology,None,Pharmacist,"Patient Counseling, Attention to Detail, Drug Interactions, Pharmacology, Organic Chemistry, Creativity, Problem Solving, Quality Control",Pharmacist,Stable,72,81,84,53,66
22,4th Semester,Mathematics,Intermediate,Research Scientist,"Critical Thinking, NLP, Adaptability, Algorithms, Calculus, Deep Learning, Machine Learning",AI Engineer,High Demand,99,67,96,82,60
17,1st Semester,Computer Science,Beginner,Business Analyst,"Communication, SQL, Time Management, Process Mapping, Agile/Scrum",Business Analyst,High Demand,78,85,80,71,84
28,Postgraduate,Business Studies,Advanced,Product Manager,"Roadmap Planning, Agile, Adaptability, Leadership, Creativity",Product Manager,Trending,91,98,81,89,95
21,7th Semester,Psychology,Beginner,Psychologist,"Active Listening, Counseling, Creativity, Problem Solving, Empathy",Psychologist,High Demand,75,99,86,68,86
17,1st Semester,Economics,Beginner,Business Analyst,"Business Strategy, Tableau, Process Mapping, Stakeholder Management, Data Analytics, Teamwork, Problem Solving, Requirements Gathering",Business Analyst,High Demand,81,89,91,76,74
19,3rd Semester,Engineering,Advanced,Cybersecurity Analyst,"Python, Linux, Incident Response, Adaptability, Network Security, Wireshark, Problem Solving, Cryptography",Cybersecurity Analyst,High Demand,91,58,83,62,63
23,7th Semester,Law,Beginner,Journalist,"News Writing, Video Journalism, Investigative Reporting",Journalist,Stable,77,99,83,88,73
22,3rd Semester,Mathematics,Intermediate,Aerospace Engineer,"Aerodynamics, CAD Modeling, Avionics, Propulsion Systems, Structural Analysis",Aerospace Engineer,Emerging,94,65,93,84,78
21,8th Semester,Business Studies,Advanced,Investment Banker,"Leadership, Business Model Generation, Resilience",Entrepreneur,Emerging,88,95,95,92,97
22,7th Semester,Engineering,Intermediate,Full-Stack Developer,"Python, Node.js, REST APIs, SQL",Full-Stack Developer,High Demand,95,63,81,75,67
20,2nd Semester,Commerce,None,Chartered Accountant,"Excel Mastery, Financial Analysis, Attention to Detail, Financial Accounting, Auditing",Chartered Accountant,Stable,84,73,91,52,84
20,4th Semester,Engineering,Beginner,Product Designer,"Product Strategy, Industrial Design, Figma, Customer Research",Product Designer,High Demand,78,90,83,99,64
26,8th Semester,Computer Science,None,Entrepreneur,"Risk Management, Teamwork, Creativity, Growth Strategy, Resilience",Entrepreneur,Emerging,69,99,98,94,91
22,Diploma,Engineering,Beginner,Product Designer,"Product Strategy, User Empathy, Figma",Product Designer,High Demand,75,72,88,95,70
22,3rd Semester,Engineering,Beginner,Electrical Engineer,"Critical Thinking, Circuit Design, PCB Design, Embedded Systems, Microcontrollers, Power Systems",Electrical Engineer,High Demand,92,51,86,75,68
27,Postgraduate,Computer Science,Intermediate,Product Designer,"Communication, Metrics & KPIs, Leadership, User Research, Cross-Functional Coordination, Creativity",Product Manager,Trending,86,87,95,83,93
26,7th Semester,Psychology,None,Journalist,"Storytelling, News Writing, Adaptability, Problem Solving, Interviewing",Journalist,Stable,67,98,79,92,74
20,Diploma,Computer Science,Advanced,Data Scientist,"Python, Tableau, Problem Solving, Data Visualization",Data Scientist,High Demand,99,76,87,84,66
20,3rd Semester,Computer Science,Intermediate,Software Developer,"Git, REST APIs, Debugging, Java, Problem Solving, Object-Oriented Programming",Software Developer,High Demand,91,66,84,71,60
21,Diploma,Mathematics,Advanced,Investment Banker,"Time Management, Adaptability, Market Research, Financial Modeling, M&A Analysis",Investment Banker,High Demand,99,88,91,54,88
28,Graduate,Engineering,Beginner,DevOps Engineer,"Cloud Security, Communication, Jenkins, Time Management, GitLab CI, Monitoring",DevOps Engineer,High Demand,88,62,95,58,56
22,5th Semester,Education,None,IAS Officer,"General Studies, Crisis Management, Critical Thinking, Governance",IAS Officer,Stable,75,97,89,65,97
22,4th Semester,Biology,Beginner,Dentist,"Hygiene Standards, Oral Surgery, Teamwork, Patient Communication, Dental Anatomy, Creativity, Diagnostics, Empathy",Dentist,Stable,85,79,79,69,81
28,7th Semester,Chemistry,None,Doctor,"Critical Thinking, Pharmacology, Patient Care, Creativity, Anatomy, Clinical Diagnosis, Empathy",Doctor,High Demand,85,86,88,56,67
17,10th,Chemistry,Intermediate,Doctor,"Medical Ethics, Anatomy, Pharmacology, Empathy",Doctor,High Demand,93,94,81,54,93
22,3rd Semester,Mathematics,Beginner,Software Developer,"Creativity, Git, Problem Solving, C++, Object-Oriented Programming",Software Developer,High Demand,85,69,87,67,64
22,5th Semester,Design,Expert,Mobile App Developer,"Android Studio, Critical Thinking, Communication, Mobile Architecture, Flutter, UI/UX",Mobile App Developer,Trending,99,66,86,70,69
21,2nd Semester,Education,Beginner,Teacher,"Lesson Planning, Communication, Adaptability, Patience, Classroom Management",Teacher,Stable,76,93,79,83,83
20,8th Semester,Physics,Beginner,Astrophysicist,"Cosmology, Numerical Simulation, Python, Astronomical Observation",Astrophysicist,Emerging,92,63,93,68,42
23,Postgraduate,Engineering,Intermediate,Biomedical Engineer,"Materials Science, Communication, Adaptability, CAD Design, Biology, Biomechanics",Biomedical Engineer,Trending,92,70,86,83,68
22,4th Semester,Economics,Intermediate,Business Analyst,"Business Strategy, Tableau, Agile/Scrum, Teamwork, Creativity",Business Analyst,High Demand,85,81,93,70,74
24,Graduate,Mathematics,Advanced,Data Scientist,"Python, Pandas, SQL, Tableau, Scikit-Learn, Time Management, Creativity, Machine Learning",Data Scientist,High Demand,99,86,92,75,69
27,Graduate,Economics,None,Financial Analyst,"Ratio Analysis, Forecasting, Communication, Excel, Python for Finance, Market Research, PowerBI",Financial Analyst,Trending,82,73,92,58,72
20,Diploma,Computer Science,Intermediate,Full-Stack Developer,"Communication, REST APIs, Teamwork, HTML/CSS, Express",Full-Stack Developer,High Demand,89,72,82,81,62
24,7th Semester,Economics,Beginner,Business Analyst,"SQL, Agile/Scrum, Requirements Gathering, Data Analytics",Business Analyst,High Demand,79,81,92,75,80
21,7th Semester,Mathematics,Beginner,Software Developer,"Python, Critical Thinking, Data Structures, Algorithms, Object-Oriented Programming",Software Developer,High Demand,78,68,90,69,73
25,8th Semester,Psychology,None,Psychologist,"Mental Health Assessment, Active Listening, Cognitive Behavioral Therapy, Research Methods",Psychologist,High Demand,61,99,84,74,80
20,2nd Semester,Animation,Intermediate,Animator,"Character Animation, Texturing, Adaptability, Teamwork, 3D Modeling, Maya, Storyboarding",Animator,Emerging,82,74,74,98,54
22,3rd Semester,Economics,None,Chartered Accountant,"Taxation, Financial Reporting, Attention to Detail, Financial Accounting, Creativity",Chartered Accountant,Stable,87,65,90,49,64
28,Graduate,Chemistry,None,Professor,"Academic Lecturing, Mentorship, Public Speaking, Scientific Publication, Pedagogy",Professor,Stable,81,89,92,90,79
21,3rd Semester,Education,None,Journalist,"Storytelling, News Writing, Fact Checking, Video Journalism, Media Ethics",Journalist,Stable,62,99,84,78,68
26,8th Semester,Education,None,Professor,"Research Methodology, Academic Lecturing, Communication, Adaptability, Pedagogy, Curriculum Development",Professor,Stable,76,87,93,75,91
17,1st Semester,Physics,Beginner,Teacher,"Astronomical Observation, Calculus, Quantum Mechanics, Astrophysics",Astrophysicist,Emerging,93,72,92,78,65
23,Postgraduate,Law,None,Journalist,"Storytelling, Critical Thinking, Creativity, Media Ethics, Interviewing",Journalist,Stable,68,99,92,83,67
17,10th,Law,Intermediate,Journalist,"Creativity, Video Journalism, Interviewing, Fact Checking",Journalist,Stable,82,96,83,88,69
20,2nd Semester,Engineering,Advanced,Robotics Engineer,"Sensors & Actuators, Time Management, Mechatronics, Control Systems",Robotics Engineer,High Demand,99,76,88,74,79
25,Postgraduate,Computer Science,Beginner,UI/UX Designer,"User Research, Teamwork, Creativity, Prototyping, Interaction Design",UI/UX Designer,High Demand,78,84,78,89,67
22,8th Semester,Engineering,None,Electrical Engineer,"Signal Processing, MATLAB, Adaptability, PCB Design, Problem Solving, Microcontrollers",Electrical Engineer,High Demand,84,68,87,70,62
25,8th Semester,Engineering,Beginner,DevOps Engineer,"Python, Jenkins, Linux Bash, Creativity, Kubernetes",DevOps Engineer,High Demand,87,63,86,50,57
18,10th,Commerce,Beginner,Data Scientist,"Financial Statement Analysis, Ratio Analysis, Forecasting, Excel, Market Research",Financial Analyst,Trending,85,76,90,62,69
19,8th Semester,Data Science,Advanced,Professor,"Python, Linear Algebra, Time Management, NLP, TensorFlow, Calculus, Machine Learning",AI Engineer,High Demand,99,71,89,72,68
26,Postgraduate,Mathematics,Advanced,Data Scientist,"Python, Pandas, SQL, Statistics, Analytical Thinking",Data Scientist,High Demand,94,73,87,68,59
28,Postgraduate,Education,Beginner,Pharmacist,"Public Speaking, Academic Lecturing, Mentorship",Professor,Stable,93,82,86,79,81
19,4th Semester,Education,None,IAS Officer,"Policy Formulation, Crisis Management, Decision Making",IAS Officer,Stable,76,99,92,71,99
19,5th Semester,Medical Science,None,Dentist,"Manual Dexterity, Oral Surgery, Patient Communication, Dental Anatomy, Diagnostics",Dentist,Stable,83,77,84,69,55
19,2nd Semester,Finance,None,Astrophysicist,"Financial Statement Analysis, Ratio Analysis, Forecasting, Excel, Python for Finance, PowerBI",Financial Analyst,Trending,89,74,83,59,67
22,3rd Semester,Computer Science,Advanced,Full-Stack Developer,"Creativity, Git, MongoDB, REST APIs, HTML/CSS, Express, Node.js",Full-Stack Developer,High Demand,92,69,88,75,66
25,8th Semester,Engineering,Advanced,DevOps Engineer,"Python, Jenkins, Monitoring, Docker, Linux Bash, Kubernetes",DevOps Engineer,High Demand,99,74,89,63,61
20,7th Semester,Law,Intermediate,Lawyer,"Negotiation, Critical Thinking, Time Management, Legal Research, Argumentation",Lawyer,Stable,82,92,94,74,94
18,1st Semester,Engineering,None,Civil Engineer,"AutoCAD, Adaptability, Surveying, Construction Management, Geotechnical Engineering",Civil Engineer,Stable,86,71,85,67,78
